Date,Moon Phase,Lotus Sutra (Solar),Dhammapada (Earth),Bodhicaryavatara (Lunar)
1/1/26,,Ch 1: The Opening,Ch 13: The World,Day 13: Heroic Effort
1/2/26,,Ch 2: Expedient Means,Ch 14: The Buddha,Day 14: Heroic Effort
1/3/26,,Ch 3: Parable,Ch 15: Happiness,Day 15: Heroic Effort
1/4/26,,Ch 4: Faith & Understanding,Ch 16: Affection,Day 16: Meditation
1/5/26,,Ch 5: Medicinal Herbs,Ch 17: Anger,Day 17: Meditation
1/6/26,,Ch 6: Bestowal of Prophecy,Ch 18: Impurity,Day 18: Meditation
1/7/26,,Ch 7: Phantom City,Ch 19: The Just,Day 19: Meditation
1/8/26,,Ch 8: 500 Disciples,Ch 20: The Path,Day 20: Wisdom
1/9/26,,Ch 9: Learners & Adepts,Ch 21: Miscellaneous,Day 21: Wisdom
1/10/26,LAST QUARTER,Ch 10: Teacher of the Law,Ch 22: Hell,Day 22: Wisdom
1/11/26,,Ch 11: Treasure Tower,Ch 23: The Elephant,Day 23: Dedication
1/12/26,,Ch 12: Devadatta,Ch 24: Craving,Day 24: Dedication
1/13/26,,Ch 13: Encouragement,Ch 25: The Monk,Day 25: Review/Catch-up
1/14/26,,Ch 14: Peaceful Practices,Ch 26: The Holy Man,Day 26: Review/Catch-up
1/15/26,,Ch 15: Emerging from Earth,Ch 27: (Reconstructed),Day 27: Review/Catch-up
1/16/26,,Ch 16: Life Span of Buddha,Ch 28: The Brahmin,Day 28: SILENCE
1/17/26,,Ch 17: Distinction of Benefits,Ch 1: The Pairs,Day 28: SILENCE (Alternate)
1/18/26,NEW MOON,Ch 18: Joy of Following,Ch 2: Heedfulness,Day 1: Ignition (Bodhicitta)
1/19/26,,Ch 19: Teacher Merits,Ch 3: The Mind,Day 2: Confession
1/20/26,,Ch 20: Bodhisattva Never Disparaging,Ch 4: Flowers,Day 3: Adoption
1/21/26,,Ch 21: Supernatural Powers,Ch 5: Fools,Day 4: Carefulness
1/22/26,,Ch 22: Entrustment,Ch 6: The Wise,Day 5: Guarding
1/23/26,,Ch 23: Medicine King,Ch 7: The Arahant,Day 6: Patience (1)
1/24/26,,Ch 24: Gadgasvara,Ch 8: Thousands,Day 7: Patience (2)
1/25/26,FIRST QUARTER,Ch 25: Universal Gate (Guanyin),Ch 9: Evil,Day 8: Patience (3)
1/26/26,,Ch 26: Dharani,Ch 10: Violence,Day 9: Heroic Effort (1)
1/27/26,,Ch 27: King Wondrous Adornment,Ch 11: Old Age,Day 10: Heroic Effort (2)
1/28/26,,Ch 28: Universal Worthy (End),Ch 12: Self,Day 11: Heroic Effort (3)
1/29/26,,[REST / INTEGRATION],Ch 13: The World,Day 12: Heroic Effort (4)
1/30/26,,[REST / INTEGRATION],Ch 14: The Buddha,Day 13: Meditation (1)
1/31/26,,[REST / INTEGRATION],Ch 15: Happiness,Day 14: Laziness (2)
