Date,Moon Phase,Lotus Sutra (Solar),Dhammapada (Solar-Lunar),Bodhicaryavatara (Lunar Path)
2026-01-04,,Ch 4: Faith & Understanding,Ch 15: Happiness,Day 15: Heroic Effort
2026-01-05,,Ch 5: Medicinal Herbs,Ch 16: Affection,Day 16: Meditation
2026-01-06,,Ch 6: Bestowal of Prophecy,Ch 17: Anger,Day 17: Meditation
2026-01-07,,Ch 7: Phantom City,Ch 18: Impurity,Day 18: Meditation
2026-01-08,,Ch 8: 500 Disciples,Ch 19: The Just,Day 19: Meditation
2026-01-09,,Ch 9: Learners & Adepts,Ch 20: The Path,Day 20: Wisdom
2026-01-10,LAST QUARTER,Ch 10: Teacher of the Law,Ch 21: Miscellaneous,Day 21: Wisdom
2026-01-11,,Ch 11: Treasure Tower,Ch 22: Hell,Day 22: Wisdom
2026-01-12,,Ch 12: Devadatta,Ch 23: The Elephant,Day 23: Dedication
2026-01-13,,Ch 13: Encouragement,Ch 24: Craving,Day 24: Dedication
2026-01-14,,Ch 14: Peaceful Practices,Ch 25: The Monk,Day 25: Review/Catch-up
2026-01-15,,Ch 15: Emerging from Earth,Ch 26: The Holy Man,Day 26: Review/Catch-up
2026-01-16,,Ch 16: Life Span of Buddha,Ch 27: (Reconstructed),Day 27: Review/Catch-up
2026-01-17,,Ch 17: Distinction of Benefits,Ch 28: The Brahmin,Day 28: SILENCE
2026-01-18,NEW MOON,Ch 18: Joy of Following,Ch 1: The Pairs,Day 28: SILENCE (Alternate)
2026-01-19,,Ch 19: Teacher Merits,Ch 2: Heedfulness,Day 1: Ignition (Bodhicitta)
2026-01-20,,Ch 20: Bodhisattva Never Disparaging,Ch 3: The Mind,Day 2: Confession
2026-01-21,,Ch 21: Supernatural Powers,Ch 4: Flowers,Day 3: Adoption
2026-01-22,,Ch 22: Entrustment,Ch 5: Fools,Day 4: Carefulness
2026-01-23,,Ch 23: Medicine King,Ch 6: The Wise,Day 5: Guarding
2026-01-24,,Ch 24: Gadgasvara,Ch 7: The Arahant,Day 6: Patience (1)
2026-01-25,FIRST QUARTER,Ch 25: Universal Gate (Guanyin),Ch 8: Thousands,Day 7: Patience (2)
2026-01-26,,Ch 26: Dharani,Ch 9: Evil,Day 8: Patience (3)
2026-01-27,,Ch 27: King Wondrous Adornment,Ch 10: Violence,Day 9: Heroic Effort (1)
2026-01-28,,Ch 28: Universal Worthy (End),Ch 11: Old Age,Day 10: Heroic Effort (2)
2026-01-29,,[REST / INTEGRATION],Ch 12: Self,Day 11: Heroic Effort (3)
2026-01-30,,[REST / INTEGRATION],Ch 13: The World,Day 12: Heroic Effort (4)
2026-01-31,,[REST / INTEGRATION],Ch 14: The Buddha,Day 13: Meditation (1)
